city,year,weekofyear,total_cases
sj,2010,26,15
sj,2010,27,22
sj,2010,28,40
sj,2010,29,19
sj,2010,30,28
sj,2010,31,25
sj,2010,32,62
sj,2010,33,63
sj,2010,34,46
sj,2010,35,89
sj,2010,36,84
sj,2010,37,67
sj,2010,38,69
sj,2010,39,49
sj,2010,40,24
sj,2010,41,39
sj,2010,42,46
sj,2010,43,47
sj,2010,44,27
sj,2010,45,31
sj,2010,46,23
sj,2010,47,13
sj,2010,48,12
sj,2010,49,15
sj,2010,50,13
sj,2010,51,8
sj,2011,52,9
sj,2011,1,13
sj,2011,2,10
sj,2011,3,9
sj,2011,4,12
sj,2011,5,12
sj,2011,6,8
sj,2011,7,9
sj,2011,8,12
sj,2011,9,4
sj,2011,10,4
sj,2011,11,5
sj,2011,12,3
sj,2011,13,3
sj,2011,14,4
sj,2011,15,3
sj,2011,16,4
sj,2011,17,2
sj,2011,18,4
sj,2011,19,4
sj,2011,20,3
sj,2011,21,4
sj,2011,22,11
sj,2011,23,14
sj,2011,24,19
sj,2011,25,15
sj,2011,26,18
sj,2011,27,12
sj,2011,28,12
sj,2011,29,14
sj,2011,30,19
sj,2011,31,15
sj,2011,32,38
sj,2011,33,55
sj,2011,34,29
sj,2011,35,30
sj,2011,36,55
sj,2011,37,68
sj,2011,38,31
sj,2011,39,22
sj,2011,40,56
sj,2011,41,23
sj,2011,42,11
sj,2011,43,22
sj,2011,44,25
sj,2011,45,16
sj,2011,46,15
sj,2011,47,32
sj,2011,48,21
sj,2011,49,19
sj,2011,50,21
sj,2011,51,5
sj,2012,52,8
sj,2012,1,12
sj,2012,2,10
sj,2012,3,10
sj,2012,4,8
sj,2012,5,8
sj,2012,6,9
sj,2012,7,9
sj,2012,8,8
sj,2012,9,10
sj,2012,10,2
sj,2012,11,3
sj,2012,12,3
sj,2012,13,5
sj,2012,14,4
sj,2012,15,3
sj,2012,16,5
sj,2012,17,3
sj,2012,18,5
sj,2012,19,4
sj,2012,20,10
sj,2012,21,4
sj,2012,22,5
sj,2012,23,13
sj,2012,24,17
sj,2012,25,43
sj,2012,26,39
sj,2012,27,13
sj,2012,28,13
sj,2012,29,19
sj,2012,30,15
sj,2012,31,16
sj,2012,32,23
sj,2012,33,62
sj,2012,34,45
sj,2012,35,26
sj,2012,36,26
sj,2012,37,49
sj,2012,38,61
sj,2012,39,53
sj,2012,40,66
sj,2012,41,26
sj,2012,42,33
sj,2012,43,20
sj,2012,44,36
sj,2012,45,19
sj,2012,46,29
sj,2012,47,11
sj,2012,48,19
sj,2012,49,15
sj,2012,50,12
sj,2012,51,6
sj,2013,1,11
sj,2013,2,13
sj,2013,3,8
sj,2013,4,9
sj,2013,5,11
sj,2013,6,11
sj,2013,7,8
sj,2013,8,8
sj,2013,9,8
sj,2013,10,5
sj,2013,11,5
sj,2013,12,4
sj,2013,13,6
sj,2013,14,4
sj,2013,15,8
sj,2013,16,6
sj,2013,17,3
iq,2010,26,2
iq,2010,27,0
iq,2010,28,5
iq,2010,29,2
iq,2010,30,2
iq,2010,31,2
iq,2010,32,5
iq,2010,33,1
iq,2010,34,6
iq,2010,35,10
iq,2010,36,8
iq,2010,37,5
iq,2010,38,10
iq,2010,39,6
iq,2010,40,24
iq,2010,41,9
iq,2010,42,9
iq,2010,43,8
iq,2010,44,5
iq,2010,45,13
iq,2010,46,7
iq,2010,47,6
iq,2010,48,17
iq,2010,49,2
iq,2010,50,8
iq,2010,51,10
iq,2011,52,6
iq,2011,1,18
iq,2011,2,15
iq,2011,3,15
iq,2011,4,17
iq,2011,5,18
iq,2011,6,18
iq,2011,7,13
iq,2011,8,17
iq,2011,9,15
iq,2011,10,15
iq,2011,11,7
iq,2011,12,8
iq,2011,13,8
iq,2011,14,7
iq,2011,15,6
iq,2011,16,3
iq,2011,17,7
iq,2011,18,5
iq,2011,19,2
iq,2011,20,5
iq,2011,21,2
iq,2011,22,2
iq,2011,23,8
iq,2011,24,6
iq,2011,25,3
iq,2011,26,2
iq,2011,27,3
iq,2011,28,1
iq,2011,29,4
iq,2011,30,1
iq,2011,31,3
iq,2011,32,8
iq,2011,33,0
iq,2011,34,3
iq,2011,35,3
iq,2011,36,0
iq,2011,37,7
iq,2011,38,8
iq,2011,39,5
iq,2011,40,7
iq,2011,41,3
iq,2011,42,4
iq,2011,43,14
iq,2011,44,4
iq,2011,45,8
iq,2011,46,6
iq,2011,47,3
iq,2011,48,4
iq,2011,49,5
iq,2011,50,20
iq,2011,51,12
iq,2012,52,5
iq,2012,1,16
iq,2012,2,15
iq,2012,3,16
iq,2012,4,13
iq,2012,5,18
iq,2012,6,13
iq,2012,7,16
iq,2012,8,16
iq,2012,9,11
iq,2012,10,13
iq,2012,11,4
iq,2012,12,5
iq,2012,13,11
iq,2012,14,5
iq,2012,15,4
iq,2012,16,4
iq,2012,17,5
iq,2012,18,3
iq,2012,19,2
iq,2012,20,4
iq,2012,21,3
iq,2012,22,1
iq,2012,23,3
iq,2012,24,1
iq,2012,25,3
iq,2012,26,5
iq,2012,27,1
iq,2012,28,2
iq,2012,29,3
iq,2012,30,5
iq,2012,31,2
iq,2012,32,2
iq,2012,33,8
iq,2012,34,9
iq,2012,35,10
iq,2012,36,3
iq,2012,37,5
iq,2012,38,3
iq,2012,39,8
iq,2012,40,8
iq,2012,41,9
iq,2012,42,10
iq,2012,43,7
iq,2012,44,3
iq,2012,45,3
iq,2012,46,6
iq,2012,47,20
iq,2012,48,10
iq,2012,49,4
iq,2012,50,5
iq,2012,51,4
iq,2013,1,16
iq,2013,2,12
iq,2013,3,13
iq,2013,4,17
iq,2013,5,19
iq,2013,6,15
iq,2013,7,14
iq,2013,8,14
iq,2013,9,15
iq,2013,10,8
iq,2013,11,7
iq,2013,12,9
iq,2013,13,10
iq,2013,14,9
iq,2013,15,4
iq,2013,16,6
iq,2013,17,6
iq,2013,18,3
iq,2013,19,3
iq,2013,20,4
iq,2013,21,2
iq,2013,22,8
iq,2013,23,4
iq,2013,24,1
iq,2013,25,3
iq,2013,26,2
